New,Orig,Drop,Rationale
recNo,record - Record number,1,"Administrative, not useful"
age,"Q1r1 - To begin, what is your age?",0,
gender,Q4 - What is your gender?,0,
ageGrp,age - you are...,0,
state,Q2 - In which state do you currently reside?,1,"Going to use region instead, requires less encoding so easier way to work with the data"
region,region - Region,0,
status,QNEW3 - What is your employment status?,0,
ethnicity,Q5 - Which category best describes your ethnicity?,0,
childAtHome,QNEW1 - Do you have children living in your home (excluding yourself if you are under 18)?,0,
childAtHome_0-4,QNEW2 - How old are the children in your home?-0-4 years,1,High number of nulls and feels like having children at all is the main point
childAtHome_5-9,QNEW2 - How old are the children in your home?-5-9 years,1,High number of nulls and feels like having children at all is the main point
childAtHome_10-13,QNEW2 - How old are the children in your home?-10-13 years,1,High number of nulls and feels like having children at all is the main point
childAtHome_14-18,QNEW2 - How old are the children in your home?-14-18 years,1,High number of nulls and feels like having children at all is the main point
childAtHome_19-25,QNEW2 - How old are the children in your home?-19-25 years,1,High number of nulls and feels like having children at all is the main point
childAtHome_26+,QNEW2 - How old are the children in your home?-26+ years,1,High number of nulls and feels like having children at all is the main point
childAtHome_unsure,QNEW2 - How old are the children in your home?-Don't Know,1,High number of nulls and feels like having children at all is the main point
HHIncome,"Q6 - Into which of the following categories does your total annual household income fall before taxes? Again, we promise to keep this, and all your answers, completely confidential.",0,
ownsTV,Q8 - Which of the following media or home entertainment equipment does your household own?-Flat panel television,0,
ownsDVR,Q8 - Which of the following media or home entertainment equipment does your household own?-Digital video recorder (DVR),0,
ownsStreamingBox,Q8 - Which of the following media or home entertainment equipment does your household own?-Streaming media box or over-the-top box,0,
ownsStreamingDrive,Q8 - Which of the following media or home entertainment equipment does your household own?-Portable streaming thumb drive/fob,0,
ownsDigTVAntenna,Q8 - Which of the following media or home entertainment equipment does your household own?-Over-the-air digital TV antenna (for free access to network broadcast without pay TV subscription),0,
ownsDVD,Q8 - Which of the following media or home entertainment equipment does your household own?-Blu-ray disc player/DVD player,0,
ownsGaming,Q8 - Which of the following media or home entertainment equipment does your household own?-Gaming console,0,
ownsPortableGaming,Q8 - Which of the following media or home entertainment equipment does your household own?-Portable video game player,0,
ownsRouter,Q8 - Which of the following media or home entertainment equipment does your household own?-Computer network/router in your home for wireless computer/laptop usage,0,
ownsDesktop,Q8 - Which of the following media or home entertainment equipment does your household own?-Desktop computer,0,
ownsLaptop,Q8 - Which of the following media or home entertainment equipment does your household own?-Laptop computer,0,
ownsTablet,Q8 - Which of the following media or home entertainment equipment does your household own?-Tablet,0,
ownsE-Reader,Q8 - Which of the following media or home entertainment equipment does your household own?-Dedicated e-book reader,0,
ownsSmartphone,Q8 - Which of the following media or home entertainment equipment does your household own?-Smartphone,0,
ownsPhone,Q8 - Which of the following media or home entertainment equipment does your household own?-Basic mobile phone (not a smartphone),0,
ownsSmartwatch,Q8 - Which of the following media or home entertainment equipment does your household own?-Smart watch,0,
ownsFitnessBand,Q8 - Which of the following media or home entertainment equipment does your household own?-Fitness band,0,
ownsVR,Q8 - Which of the following media or home entertainment equipment does your household own?-Virtual reality headset,0,
ownsDrone,Q8 - Which of the following media or home entertainment equipment does your household own?-Drone,0,
ownsNA,Q8 - Which of the following media or home entertainment equipment does your household own?-None of the above,0,
